Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
spambase.csv,CL,1,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",0.95010846,0.936842105,0.063157895,0.941798942,0.985366091,0.967503547,30.0731132,0.015143976
spambase.csv,CL,2,"{'n_estimators': 30, 'max_depth': 16, 'criterion': 'entropy'}",0.954347826,0.935,0.065,0.958974359,0.983807692,0.972113658,29.07910943,0.019515079
spambase.csv,CL,3,"{'n_estimators': 30, 'max_depth': 16, 'criterion': 'entropy'}",0.941304348,0.895061728,0.104938272,0.935483871,0.97233615,0.969078077,36.48843527,0.017315927
spambase.csv,CL,4,"{'n_estimators': 30, 'max_depth': 27, 'criterion': 'entropy'}",0.945652174,0.933701657,0.066298343,0.928571429,0.98396998,0.9714972,40.64816523,0.015178452
spambase.csv,CL,5,"{'n_estimators': 30, 'max_depth': 27, 'criterion': 'entropy'}",0.947826087,0.902439024,0.097560976,0.948717949,0.98598179,0.979103122,39.25343037,0.015180526
spambase.csv,CL,6,"{'n_estimators': 30, 'max_depth': 37, 'criterion': 'gini'}",0.954347826,0.919786096,0.080213904,0.966292135,0.982027776,0.981356299,38.62696767,0.023833047
spambase.csv,CL,7,"{'n_estimators': 30, 'max_depth': 27, 'criterion': 'entropy'}",0.963043478,0.940298507,0.059701493,0.974226804,0.994871204,0.993500818,39.63317394,0.026017687
spambase.csv,CL,8,"{'n_estimators': 30, 'max_depth': 16, 'criterion': 'entropy'}",0.952173913,0.920454545,0.079545455,0.952941176,0.98993678,0.985733457,39.36674309,0.017343915
spambase.csv,CL,9,"{'n_estimators': 30, 'max_depth': 16, 'criterion': 'entropy'}",0.960869565,0.921052632,0.078947368,0.95890411,0.986778025,0.982985598,38.46241713,0.019510933
spambase.csv,CL,10,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",0.932608696,0.87,0.13,0.972067039,0.983307692,0.982511504,37.78089428,0.019510933
acute-inflammation.csv,CL,1,"{'n_estimators': 30, 'max_depth': 37, 'criterion': 'gini'}",1,1,0,1,1,1,12.69336605,0.332335631
acute-inflammation.csv,CL,2,"{'n_estimators': 10, 'max_depth': 31, 'criterion': 'entropy'}",1,1,0,1,1,1,12.38266468,0.249842803
acute-inflammation.csv,CL,3,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",1,1,0,1,1,1,12.20745921,0.415623188
acute-inflammation.csv,CL,4,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",1,1,0,1,1,1,8.875336885,0.332494577
acute-inflammation.csv,CL,5,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",1,1,0,1,1,1,10.47163582,0.49863259
acute-inflammation.csv,CL,6,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",1,1,0,1,1,1,13.79811835,0.498751799
acute-inflammation.csv,CL,7,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",1,1,0,1,1,1,12.74575233,0.582118829
acute-inflammation.csv,CL,8,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",1,1,0,1,1,1,13.41354942,0.748137633
acute-inflammation.csv,CL,9,"{'n_estimators': 10, 'max_depth': 31, 'criterion': 'entropy'}",1,1,0,1,1,1,11.97089195,0.249405702
acute-inflammation.csv,CL,10,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",1,1,0,1,1,1,8.745570183,0.332196554
acute-nephritis.csv,CL,1,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",1,1,0,1,1,1,12.86632299,0.498493512
